pharmacy_key,pharmacy_name,city,address,phones_str,phones_json
ph_738fa0628cc9,EDEN,Bonoua,,07 58 09 46 67 / 07 11 44 29 82,"[""07 58 09 46 67"", ""07 11 44 29 82""]"
ph_65d5e2f83264,SAINTE RITA,Bonoua,CARREFOUR DU COLLEGE SAINTE RITA,01 01 45 66 55,"[""01 01 45 66 55""]"
ph_95296ec09352,CARREFOUR,Bouafle,,07 08 65 69 79,"[""07 08 65 69 79""]"
ph_5948006e3b18,DE L'ALLIANCE (NLLE),Bouafle,,07 07 08 79 57,"[""07 07 08 79 57""]"
ph_376e86f9f643,FELY,Bouafle,NOUVEAU MARCHE,01 51 42 22 58,"[""01 51 42 22 58""]"
ph_0524a6c5f167,MAGNIFICAT DE BOUAFLE,Bouafle,EN FACE DE LA CELPAID / AU NIVEAU DU MONUMENT,07 05 74 89 38,"[""07 05 74 89 38""]"
ph_5d03fa871782,PROVIDENCE,Bouafle,ZONE DE LA COOPEC,07 79 48 80 70,"[""07 79 48 80 70""]"
ph_fc546444d261,ST AUGUSTIN,Bouafle,QUARTIER COMMERCE,27 30 68 91 83,"[""27 30 68 91 83""]"
ph_3c865c5fa068,AYATHA,Bouake,AIR FRANCE II / BOULANGERIE LA FLOTTE,27 31 60 01 65 / 07 98 18 88 09,"[""27 31 60 01 65"", ""07 98 18 88 09""]"
ph_14b445d11b7d,BEL AIR,Bouake,ZONE EN FACE DU MARCHE,27 31 63 59 90,"[""27 31 63 59 90""]"
ph_44e2f2dc79e7,BELLEVILLE (GDE),Bouake,QUARTIER BELLEVILLE,07 57 76 92 64 / 07 99 50 73 25,"[""07 57 76 92 64"", ""07 99 50 73 25""]"
ph_11667bc1afef,CITE OLYMPIQUE,Bouake,AHOUGNANSOU FACE FIBAKO,07 58 60 90 43 / 07 57 89 13 45 / 01 43 39 42 92,"[""07 58 60 90 43"", ""07 57 89 13 45"", ""01 43 39 42 92""]"
ph_90e371f03610,DAR ES SALAM,Bouake,ROUTE DE KATIOLA CARREFOUR PTIT MARCHE DJAMBOUROU FACE PLYCLINIQUE DU CENTRE,27 31 63 10 16 / 07 08 14 65 85,"[""27 31 63 10 16"", ""07 08 14 65 85""]"
ph_a182be43bdb7,DE LA GRANDE MOSQUEE,Bouake,DOUGOUBA EN FACE DE LA GRANDE MOSQUEE DE BOUAKE,01 72 17 04 13 / 07 68 48 91 23,"[""01 72 17 04 13"", ""07 68 48 91 23""]"
ph_52ed07d6b704,DE LA PLACE,Bouake,COMMERCE / FACE BICICI,27 31 63 60 63,"[""27 31 63 60 63""]"
ph_43b9978bc053,DES CHAMPS (NVLLE),Bouake,ROUTE DE GONFREVILLE FACE SODECI,27 31 63 33 62 / 07 09 83 95 24,"[""27 31 63 33 62"", ""07 09 83 95 24""]"
ph_8a59b5f1887c,DES SAVANES (NLLE),Bouake,FACE SARI (CFAO),07 57 14 38 32 / 07 48 74 15 22 / 05 56 69 18 44,"[""07 57 14 38 32"", ""07 48 74 15 22"", ""05 56 69 18 44""]"
ph_2c61b76738bd,DU CENTRE,Bouake,GRAND MARCHE DE BOUAKE,05 84 03 70 85,"[""05 84 03 70 85""]"
ph_2aae9b2cb981,DU GBEKE,Bouake,EN FACE DE LA BHCI,21 50 03 82 70 / 07 58 60 90 41,"[""21 50 03 82 70"", ""07 58 60 90 41""]"
ph_1e080f8dcc37,EL NISSI,Bouake,"KOKO, EN FACE DE LA PMI DE KOKO",27 31 60 31 40 / 01 01 45 82 22 / 01 51 03 08 64,"[""27 31 60 31 40"", ""01 01 45 82 22"", ""01 51 03 08 64""]"
ph_ffb5aab02b04,ESPOIR / M.SORO FOUNGNIGUE,Bouake,DAR ES SALAM 2 / GARE SAMA TRANSPORT,07 49 21 95 63 / 07 48 73 73 23,"[""07 49 21 95 63"", ""07 48 73 73 23""]"
ph_37da4817e5d3,FATIMA,Bouake,DAR ES SALAM III / ROUTE DE KATIOLA GARE KASSOUM,27 21 78 86 96 / 07 47 61 67 05 / 07 07 01 21 85,"[""27 21 78 86 96"", ""07 47 61 67 05"", ""07 07 01 21 85""]"
ph_1259f0b984bd,KENEYA (NLLE),Bouake,FACE SACOBO,27 31 62 30 72 / 07 68 62 54 62,"[""27 31 62 30 72"", ""07 68 62 54 62""]"
ph_885c802f4c2e,KOKO,Bouake,KOKO ROUTE DU CHU,07 57 14 38 35 / 07 47 00 33 31,"[""07 57 14 38 35"", ""07 47 00 33 31""]"
ph_7226249e79e4,LAEL,Bouake,"NIMBO, FACE AUX IMPOTS, ROUTE ABIDJAN",07 47 12 00 27,"[""07 47 12 00 27""]"
ph_a3851ee9019e,LIBERTE,Bouake,ENTRE CINEMA LIBERTE ET LA MATERNITE SOKOURA,27 31 65 70 19 / 07 57 14 38 37,"[""27 31 65 70 19"", ""07 57 14 38 37""]"
ph_6f5e12327da4,M'BOUAFOUE,Bouake,"DAR ES SALEM, CARREFOUR MOSSI-CARRE",07 06 76 76 65 / 05 02 36 92 98,"[""07 06 76 76 65"", ""05 02 36 92 98""]"
